season,fbref_name,fpl_name,fuzzy_score
2018-2019,Bruno,Bruno Saltor Grau,90.0
2018-2019,Çağlar Söyüncü,Caglar Söyüncü,86.0
2018-2019,Callum Hudson-Odoi,Callum Hudson-Odoi,100.0
2018-2019,Denis Odoi,Callum Hudson-Odoi,86.0
2018-2019,Callum Paterson,Callum Paterson,100.0
2018-2019,Callum Wilson,Callum Wilson,100.0
2018-2019,Calum Chambers,Calum Chambers,100.0
2018-2019,Carlos Sánchez,Carlos Sánchez,100.0
2018-2019,Cenk Tosun,Cenk Tosun,100.0
2018-2019,Cesc Fàbregas,Cesc Fàbregas,100.0
2018-2019,,Chancel Mbemba,
2018-2019,Charlie Austin,Charlie Austin,100.0
2018-2019,Charlie Daniels,Charlie Daniels,100.0
2018-2019,Charlie Taylor,Charlie Taylor,100.0
2018-2019,Cheikhou Kouyaté,Cheikhou Kouyaté,100.0
2018-2019,Christian Atsu,Christian Atsu,100.0
2018-2019,Christian Benteke,Christian Benteke,100.0
2018-2019,Christian Eriksen,Christian Eriksen,100.0
2018-2019,Christian Fuchs,Christian Fuchs,100.0
2018-2019,Christian Kabasele,Christian Kabasele,100.0
2018-2019,Christopher Schindler,Christopher Schindler,100.0
2018-2019,Chris Löwe,Chris Löwe,100.0
2018-2019,Chris Smalling,Chris Smalling,100.0
2018-2019,Chris Wood,Chris Wood,100.0
2018-2019,Ciaran Clark,Ciaran Clark,100.0
2018-2019,,Claudio Bravo,
2018-2019,Collin Quaner,Collin Quaner,100.0
2018-2019,Connor Wickham,Connor Wickham,100.0
2018-2019,Conor Coady,Conor Coady,100.0
2018-2019,Craig Cathcart,Craig Cathcart,100.0
2018-2019,,Cuco Martina,
2018-2019,Cyrus Christie,Cyrus Christie,100.0
2018-2019,Cédric Soares,Cédric Soares,100.0
2018-2019,César Azpilicueta,César Azpilicueta,100.0
2018-2019,,Daley Blind,
2018-2019,Dale Stephens,Dale Stephens,100.0
2018-2019,Daniel Amartey,Daniel Amartey,100.0
2018-2019,,Daniel Drinkwater,
2018-2019,Daniel Sturridge,Daniel Sturridge,100.0
2018-2019,Danilo,Danilo Luiz da Silva,90.0
2018-2019,David Luiz,Danilo Luiz da Silva,86.0
2018-2019,,Danny Batth,
2018-2019,Danny Ings,Danny Ings,100.0
2018-2019,Danny Rose,Danny Rose,100.0
2018-2019,Danny Simpson,Danny Simpson,100.0
2018-2019,Danny Ward,Danny Ward,100.0
2018-2019,James Ward-Prowse,Danny Ward,86.0
2018-2019,Danny Welbeck,Danny Welbeck,100.0
2018-2019,Danny Williams,Danny Williams,100.0
2018-2019,Dan Gosling,Dan Gosling,100.0
2018-2019,Daryl Janmaat,Daryl Janmaat,100.0
2018-2019,David Brooks,David Junior Hoilett,86.0
2018-2019,David Button,David Junior Hoilett,86.0
2018-2019,David de Gea,David Junior Hoilett,86.0
2018-2019,Junior Hoilett,David Junior Hoilett,95.0
2018-2019,David Luiz,David Junior Hoilett,86.0
2018-2019,Davide Zappacosta,Davide Zappacosta,100.0
2018-2019,David Brooks,David Brooks,100.0
2018-2019,David Button,David Button,100.0
2018-2019,David de Gea,David De Gea,100.0
2018-2019,David Brooks,David Luiz Moreira Marinho,86.0
2018-2019,David Button,David Luiz Moreira Marinho,86.0
2018-2019,David Luiz,David Luiz Moreira Marinho,90.0
2018-2019,David Silva,David Silva,100.0
2018-2019,Davinson Sánchez,Davinson Sánchez,100.0
2018-2019,,Davy Klaassen,
2018-2019,Davy Pröpper,Davy Pröpper,100.0
2018-2019,DeAndre Yedlin,DeAndre Yedlin,100.0
2018-2019,Declan Rice,Declan Rice,100.0
2018-2019,Dejan Lovren,Dejan Lovren,100.0
2018-2019,Demarai Gray,Demarai Gray,100.0
2018-2019,Callum Hudson-Odoi,Denis Odoi,86.0
2018-2019,Denis Odoi,Denis Odoi,100.0
2018-2019,Diego Rico,Diego Rico,100.0
2018-2019,Diogo Jota,Diogo Jota,100.0
2018-2019,Domingos Quina,Domingos Quina,100.0
2018-2019,Dominic Calvert-Lewin,Dominic Calvert-Lewin,100.0
2018-2019,Dominic Solanke,Dominic Solanke,100.0
2018-2019,,Dwight Gayle,
2018-2019,Eden Hazard,Eden Hazard,100.0
2018-2019,Kevin De Bruyne,Ederson Santana de Moraes,86.0
2018-2019,Ederson,Ederson Santana de Moraes,90.0
2018-2019,,Edimilson Fernandes,
2018-2019,,Eldin Jakupovic,
2018-2019,Elias Kachunga,Elias Kachunga,100.0
2018-2019,Emerson Hyndman,Emerson Hyndman,100.0
2018-2019,Emerson Hyndman,Emerson Palmieri dos Santos,86.0
2018-2019,Emerson Palmieri,Emerson Palmieri dos Santos,90.0
2018-2019,Eric Bailly,Eric Bailly,100.0
2018-2019,Eric Dier,Eric Dier,100.0
2018-2019,Erik Durm,Erik Durm,100.0
2018-2019,Érik Lamela,Erik Lamela,91.0
2018-2019,,Ethan Ampadu,
2018-2019,Étienne Capoue,Etienne Capoue,93.0
2018-2019,,Ezequiel Schelotto,
2018-2019,Fabian Delph,Fabian Delph,100.0
2018-2019,Fabian Schär,Fabian Schär,100.0
2018-2019,,Fabio Henrique Tavares,
2018-2019,Fabián Balbuena,Fabián Balbuena,100.0
2018-2019,Fabricio,Fabricio Agosto Ramírez,90.0
2018-2019,Federico Fernández,Federico Fernández,100.0
2018-2019,Felipe Anderson,Felipe Anderson Pereira Gomes,90.0
2018-2019,André Gomes,Felipe Anderson Pereira Gomes,86.0
2018-2019,Angel Gomes,Felipe Anderson Pereira Gomes,86.0
2018-2019,Andreas Pereira,Felipe Anderson Pereira Gomes,86.0
2018-2019,Ricardo Pereira,Felipe Anderson Pereira Gomes,86.0
2018-2019,Fernando Llorente,Fernando Llorente,100.0
2018-2019,,Fernando Luiz Rosa,
2018-2019,,Filip Benkovic,
2018-2019,Florent Hadergjonaj,Florent Hadergjonaj,100.0
2018-2019,Florian Lejeune,Florian Lejeune,100.0
2018-2019,Florin Andone,Florin Andone,100.0
2018-2019,Floyd Ayité,Floyd Ayité,100.0
2018-2019,Fousseni Diabaté,Fousseni Diabaté,100.0
2018-2019,Kiko Femenía,Francisco Femenía Far,86.0
2018-2019,Fraser Forster,Fraser Forster,100.0
2018-2019,,Frederico Rodrigues de Paula Santos,
2018-2019,Gabriel Jesus,Gabriel Fernando de Jesus,86.0
2018-2019,Gary Cahill,Gary Cahill,100.0
2018-2019,Gary Madine,Gary Madine,100.0
2018-2019,Gaëtan Bong,Gaëtan Bong,100.0
2018-2019,Georges-Kévin N'Koudou,Georges-Kévin Nkoudou,98.0
2018-2019,Georginio Wijnaldum,Georginio Wijnaldum,100.0
2018-2019,Gerard Deulofeu,Gerard Deulofeu,100.0
2018-2019,Glenn Murray,Glenn Murray,100.0
2018-2019,Granit Xhaka,Granit Xhaka,100.0
2018-2019,Greg Cunningham,Greg Cunninghamm,97.0
2018-2019,,Greg Halford,
2018-2019,,Guido Carrillo,
2018-2019,Gylfi Sigurðsson,Gylfi Sigurdsson,94.0
2018-2019,Hamza Choudhury,Hamza Choudhury,100.0
2018-2019,Harry Arter,Harry Arter,100.0
2018-2019,Harry Kane,Harry Kane,100.0
2018-2019,Harry Maguire,Harry Maguire,100.0
2018-2019,Harry Winks,Harry Winks,100.0
2018-2019,Henrikh Mkhitaryan,Henrikh Mkhitaryan,100.0
2018-2019,Son Heung-min,Heung-Min Son,95.0
2018-2019,,Heurelho Gomes,
2018-2019,Hugo Lloris,Hugo Lloris,100.0
2018-2019,Héctor Bellerín,Héctor Bellerín,100.0
2018-2019,Hélder Costa,Hélder Costa,100.0
2018-2019,Ibrahima Cissé,Ibrahima Cissé,100.0
2018-2019,Idrissa Gana Gueye,Idrissa Gueye,95.0
2018-2019,İlkay Gündoğan,Ilkay Gündogan,93.0
2018-2019,Isaac Hayden,Isaac Hayden,100.0
2018-2019,Isaac Mbenza,Isaac Mbenza,100.0
2018-2019,Isaac Hayden,Isaac Success Ajayi,86.0
2018-2019,Isaac Mbenza,Isaac Success Ajayi,86.0
2018-2019,Isaac Success,Isaac Success Ajayi,95.0
2018-2019,Issa Diop,Issa Diop,100.0
2018-2019,Ivan Cavaleiro,Ivan Cavaleiro,100.0
2018-2019,Jack Cork,Jack Cork,100.0
2018-2019,Jack Simpson,Jack Simpson,100.0
2018-2019,Jack Stephens,Jack Stephens,100.0
2018-2019,Jack Wilshere,Jack Wilshere,100.0
2018-2019,Jacob Murphy,Jacob Murphy,100.0
2018-2019,,Jairo Riedewald,
2018-2019,Jamaal Lascelles,Jamaal Lascelles,100.0
2018-2019,James Maddison,James Maddison,100.0
2018-2019,James McArthur,James McArthur,100.0
2018-2019,James McCarthy,James McArthur,86.0
2018-2019,James McArthur,James McCarthy,86.0
2018-2019,Alex McCarthy,James McCarthy,81.0
2018-2019,James McCarthy,James McCarthy,100.0
2018-2019,James Milner,James Milner,100.0
2018-2019,James Tarkowski,James Tarkowski,100.0
2018-2019,James Tomkins,James Tomkins,100.0
2018-2019,Danny Ward,James Ward-Prowse,86.0
2018-2019,Joel Ward,James Ward-Prowse,86.0
2018-2019,James Ward-Prowse,James Ward-Prowse,100.0
2018-2019,Jamie Vardy,Jamie Vardy,100.0
2018-2019,Jannik Vestergaard,Jannik Vestergaard,100.0
2018-2019,Jan Bednarek,Jan Bednarek,100.0
2018-2019,Jan Vertonghen,Jan Vertonghen,100.0
2018-2019,,Jaroslaw Jach,
2018-2019,Jason Puncheon,Jason Puncheon,100.0
2018-2019,,Jason Steele,
2018-2019,Javier Hernández,Javier Hernández Balcázar,90.0
2018-2019,Javier Manquillo,Javier Hernández Balcázar,86.0
2018-2019,Javier Manquillo,Javier Manquillo,100.0
2018-2019,Jean Seri,Jean Michael Seri,86.0
2018-2019,Jefferson Lerma,Jefferson Lerma,100.0
2018-2019,Jeffrey Schlupp,Jeffrey Schlupp,100.0
2018-2019,Jeff Hendrick,Jeff Hendrick,100.0
2018-2019,Jermain Defoe,Jermain Defoe,100.0
2018-2019,,Jerome Sinclair,
2018-2019,Jesse Lingard,Jesse Lingard,100.0
2018-2019,Joël Matip,Joel Matip,90.0
2018-2019,Joel Ward,Joel Ward,100.0
2018-2019,James Ward-Prowse,Joel Ward,86.0
2018-2019,Joe Bennett,Joe Bennett,100.0
2018-2019,Joe Bryan,Joe Bryan,100.0
2018-2019,Joe Hart,Joe Hart,100.0
2018-2019,Joe Ralls,Joe Ralls,100.0
2018-2019,Jóhann Berg Guðmundsson,Johann Berg Gudmundsson,91.0
2018-2019,John Ruddy,John Ruddy,100.0
2018-2019,John Stones,John Stones,100.0
2018-2019,Jon Gorenc Stanković,Jon Gorenc Stankovic,95.0
2018-2019,Jonas Lössl,Jonas Lössl,100.0
2018-2019,Jonny Castro,Jonathan Castro Otto,86.0
2018-2019,Jonathan Hogg,Jonathan Castro Otto,86.0
2018-2019,Jonathan Hogg,Jonathan Hogg,100.0
2018-2019,,Jonathan Walters,
2018-2019,Jonjoe Kenny,Jonjoe Kenny,100.0
2018-2019,Jonjo Shelvey,Jonjo Shelvey,100.0
2018-2019,Jonny Evans,Jonny Evans,100.0
2018-2019,Jordan Ayew,Jordan Ayew,100.0
2018-2019,Ederson,Jordan Henderson,83.0
2018-2019,Jordan Henderson,Jordan Henderson,100.0
2018-2019,,Jordan Hugill,
2018-2019,Jordan Pickford,Jordan Pickford,100.0
2018-2019,Jordon Ibe,Jordon Ibe,100.0
2018-2019,,Jorge Luiz Frello Filho,
2018-2019,,Jose Luis Mato Sanmartín,
2018-2019,Joe Gomez,Joseph Gomez,86.0
2018-2019,Joshua King,Joshua King,100.0
2018-2019,Josh Sims,Joshua Sims,90.0
2018-2019,Josh Murphy,Josh Murphy,100.0
2018-2019,Diogo Dalot,José Diogo Dalot Teixeira,90.0
2018-2019,José Holebas,José Diogo Dalot Teixeira,86.0
2018-2019,José Izquierdo,José Diogo Dalot Teixeira,86.0
2018-2019,Diogo Jota,José Diogo Dalot Teixeira,86.0
2018-2019,José Holebas,José Heriberto Izquierdo Mena,86.0
2018-2019,José Izquierdo,José Heriberto Izquierdo Mena,86.0
2018-2019,José Holebas,José Holebas,100.0
2018-2019,João Moutinho,João Filipe Iria Santos Moutinho,86.0
2018-2019,Juan Mata,Juan Mata,100.0
2018-2019,Julián Speroni,Julian Speroni,93.0
2018-2019,Juninho Bacuna,Juninho Bacuna,100.0
2018-2019,Junior Stanislas,Junior Stanislas,100.0
2018-2019,Jürgen Locadia,Jürgen Locadia,100.0
2018-2019,,Karl Darlow,
2018-2019,Kasper Schmeichel,Kasper Schmeichel,100.0
2018-2019,Kelechi Iheanacho,Kelechi Iheanacho,100.0
2018-2019,Kenneth Zohore,Kenneth Zohore,100.0
2018-2019,Ken Sema,Ken Sema,100.0
2018-2019,Kepa Arrizabalaga,Kepa Arrizabalaga,100.0
2018-2019,Kevin De Bruyne,Kevin De Bruyne,100.0
2018-2019,Kevin Long,Kevin De Bruyne,86.0
2018-2019,Kevin Long,Kevin Long,100.0
2018-2019,Kevin McDonald,Kevin McDonald,100.0
2018-2019,,Kevin Mirallas,
2018-2019,Kieran Trippier,Kieran Trippier,100.0
2018-2019,Konstantinos Mavropanos,Konstantinos Mavropanos,100.0
2018-2019,,Kortney Hause,
2018-2019,Kyle Walker,Kyle Walker-Peters,90.0
2018-2019,Kyle Walker-Peters,Kyle Walker-Peters,100.0
2018-2019,Kyle Walker,Kyle Walker,100.0
2018-2019,Kyle Walker-Peters,Kyle Walker,90.0
2018-2019,Laurent Depoitre,Laurent Depoitre,100.0
2018-2019,Laurent Koscielny,Laurent Koscielny,100.0
2018-2019,Leander Dendoncker,Leander Dendoncker,100.0
2018-2019,,Lee Grant,
2018-2019,Lee Peltier,Lee Peltier,100.0
2018-2019,Leighton Baines,Leighton Baines,100.0
2018-2019,Leon Balogun,Leon Balogun,100.0
2018-2019,Leroy Sané,Leroy Sané,100.0
2018-2019,Lewis Cook,Lewis Cook,100.0
2018-2019,Lewis Dunk,Lewis Dunk,100.0
2018-2019,,Loris Karius,
2018-2019,Loïc Damour,Loïc Damour,100.0
2018-2019,Lucas Digne,Lucas Digne,100.0
2018-2019,Lucas Pérez,Lucas Pérez,100.0
2018-2019,Lucas Digne,Lucas Rodrigues Moura da Silva,86.0
2018-2019,Lucas Moura,Lucas Rodrigues Moura da Silva,86.0
2018-2019,Lucas Pérez,Lucas Rodrigues Moura da Silva,86.0
2018-2019,Lucas Torreira,Lucas Rodrigues Moura da Silva,86.0
2018-2019,Lucas Torreira,Lucas Torreira,100.0
2018-2019,Luciano Vietto,Luciano Vietto,100.0
2018-2019,Łukasz Fabiański,Lukasz Fabianski,88.0
2018-2019,Luka Milivojević,Luka Milivojevic,94.0
2018-2019,Luke Amos,Luke Amos,100.0
2018-2019,Luke Shaw,Luke Shaw,100.0
2018-2019,Lys Mousset,Lys Mousset,100.0
2018-2019,,Maarten Stekelenburg,
2018-2019,Mamadou Sakho,Mamadou Sakho,100.0
2018-2019,Manolo Gabbiadini,Manolo Gabbiadini,100.0
2018-2019,Manuel Lanzini,Manuel Lanzini,100.0
2018-2019,Marcos Alonso,Marcos Alonso,100.0
2018-2019,Marcos Rojo,Marcos Rojo,100.0
2018-2019,Marcus Bettinelli,Marcus Bettinelli,100.0
2018-2019,Marcus Rashford,Marcus Rashford,100.0
2018-2019,Marc Albrighton,Marc Albrighton,100.0
2018-2019,Marc Navarro,Marc Navarro,100.0
2018-2019,Marc Albrighton,Marc Pugh,86.0
2018-2019,Mario Lemina,Mario Lemina,100.0
2018-2019,Marko Arnautović,Marko Arnautovic,94.0
2018-2019,,Markus Suttner,
2018-2019,Mark Noble,Mark Noble,100.0
2018-2019,Marouane Fellaini,Marouane Fellaini,100.0
2018-2019,Martin Dúbravka,Martin Dubravka,93.0
2018-2019,Martin Kelly,Martin Kelly,100.0
2018-2019,Martín Montoya,Martín Montoya,100.0
2018-2019,,Marvin Zeegelaar,
2018-2019,Mason Holgate,Mason Holgate,100.0
2018-2019,Matěj Vydra,Matej Vydra,91.0
2018-2019,Mateo Kovačić,Mateo Kovacic,85.0
2018-2019,Mathew Ryan,Mathew Ryan,100.0
2018-2019,Mathias Jørgensen,Mathias Jorgensen,94.0
2018-2019,Matteo Darmian,Matteo Darmian,100.0
2018-2019,Mattéo Guendouzi,Matteo Guendouzi,94.0
2018-2019,,Matthew Connolly,
2018-2019,Matthew Lowton,Matthew Lowton,100.0
2018-2019,,Matty James,
2018-2019,Matt Doherty,Matt Doherty,100.0
2018-2019,Matt Ritchie,Matt Ritchie,100.0
2018-2019,Matt Targett,Matt Targett,100.0
2018-2019,Maxime Le Marchand,Maxime Le Marchand,100.0
2018-2019,Max Meyer,Max Meyer,100.0
2018-2019,Maya Yoshida,Maya Yoshida,100.0
2018-2019,Mesut Özil,Mesut Özil,100.0
2018-2019,Michael Keane,Michael Keane,100.0
2018-2019,Michail Antonio,Michail Antonio,100.0
2018-2019,Michel Vorm,Michel Vorm,100.0
2018-2019,Miguel Britos,Miguel Britos,100.0
2018-2019,,Mikel Merino,
2018-2019,Mohamed Diamé,Mohamed Diamé,100.0
2018-2019,Mohamed Elneny,Mohamed Elneny,100.0
2018-2019,Mohamed Elyounoussi,Mohamed Elyounoussi,100.0
2018-2019,Mohamed Salah,Mohamed Salah,100.0
2018-2019,Morgan Gibbs-White,Morgan Gibbs-White,100.0
2018-2019,Wes Morgan,Morgan Gibbs-White,86.0
2018-2019,Wes Morgan,Morgan Schneiderlin,86.0
2018-2019,Morgan Schneiderlin,Morgan Schneiderlin,100.0
2018-2019,Mousa Dembélé,Mousa Dembélé,100.0
2018-2019,Moussa Sissoko,Moussa Sissoko,100.0
2018-2019,N'Golo Kanté,N'Golo Kanté,100.0
2018-2019,Georges-Kévin N'Koudou,N'Golo Kanté,86.0
2018-2019,Naby Keïta,Naby Keita,90.0
2018-2019,Nacho Monreal,Nacho Monreal,100.0
2018-2019,,Nahki Wells,
2018-2019,Nathaniel Chalobah,Nathaniel Chalobah,100.0
2018-2019,Nathaniel Clyne,Nathaniel Clyne,100.0
2018-2019,Nathaniel Mendez-Laing,Nathaniel Mendez-Laing,100.0
2018-2019,Nathan Aké,Nathan Aké,100.0
2018-2019,Nathan Redmond,Nathan Redmond,100.0
2018-2019,Neeskens Kebano,Neeskens Kebano,100.0
2018-2019,Neil Etheridge,Neil Etheridge,100.0
2018-2019,Nemanja Matić,Nemanja Matic,92.0
2018-2019,,Nick Pope,
2018-2019,Nicolás Otamendi,Nicolás Otamendi,100.0
2018-2019,,Nikola Vlasic,
2018-2019,Oleksandr Zinchenko,Oleksandr Zinchenko,100.0
2018-2019,Olivier Giroud,Olivier Giroud,100.0
2018-2019,,Omar Bogle,
2018-2019,Oriol Romeu,Oriol Romeu Vidal,90.0
2018-2019,Oumar Niasse,Oumar Niasse,100.0
2018-2019,Pablo Zabaleta,Pablo Zabaleta,100.0
2018-2019,Pape Souaré,Pape Souaré,100.0
2018-2019,Pascal Groß,Pascal Groß,100.0
2018-2019,Patrick van Aanholt,Patrick van Aanholt,100.0
2018-2019,Paul Dummett,Paul Dummett,100.0
2018-2019,Paul Pogba,Paul Pogba,100.0
2018-2019,Pedro Obiang,Pedro Obiang,100.0
2018-2019,Pedro,Pedro Obiang,90.0
2018-2019,Pedro Obiang,Pedro Rodríguez Ledesma,86.0
2018-2019,Pedro,Pedro Rodríguez Ledesma,90.0
2018-2019,Petr Čech,Petr Cech,89.0
2018-2019,Philip Billing,Philip Billing,100.0
2018-2019,Phil Bardsley,Phil Bardsley,100.0
2018-2019,Phil Foden,Phil Foden,100.0
2018-2019,Phil Jagielka,Phil Jagielka,100.0
2018-2019,Phil Jones,Phil Jones,100.0
2018-2019,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,100.0
2018-2019,Pierre Højbjerg,Pierre-Emerick Aubameyang,86.0
2018-2019,Pierre Højbjerg,Pierre-Emile Højbjerg,95.0
2018-2019,,Pontus Dahlberg,
2018-2019,Rachid Ghezzal,Rachid Ghezzal,100.0
2018-2019,,Rafa Mir,
2018-2019,,Ragnar Klavan,
2018-2019,Raheem Sterling,Raheem Sterling,100.0
2018-2019,Rajiv van La Parra,Rajiv van La Parra,100.0
2018-2019,Ramadan Sobhi,Ramadan Sobhi,100.0
2018-2019,Raúl Jiménez,Raúl Jiménez,100.0
2018-2019,,Reece Oxford,
2018-2019,,Reiss Nelson,
2018-2019,Andreas Pereira,Ricardo Domingos Barbosa Pereira,86.0
2018-2019,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,86.0
2018-2019,Domingos Quina,Ricardo Domingos Barbosa Pereira,86.0
2018-2019,Richarlison,Richarlison de Andrade,90.0
2018-2019,Riyad Mahrez,Riyad Mahrez,100.0
2018-2019,Robbie Brady,Robbie Brady,100.0
2018-2019,Kenedy,Robert Kenedy Nunes do Nascimento,90.0
2018-2019,Robert Snodgrass,Robert Kenedy Nunes do Nascimento,86.0
2018-2019,Roberto Firmino,Roberto Firmino,100.0
2018-2019,Roberto Pereyra,Roberto Pereyra,100.0
2018-2019,,Robert Elliot,
2018-2019,Robert Snodgrass,Robert Snodgrass,100.0
2018-2019,Rob Holding,Rob Holding,100.0
2018-2019,Jefferson Lerma,Roderick Jefferson Gonçalves Miranda,86.0
2018-2019,Romain Saïss,Romain Saïss,100.0
2018-2019,Romelu Lukaku,Romelu Lukaku,100.0
2018-2019,Ross Barkley,Ross Barkley,100.0
2018-2019,Ruben Loftus-Cheek,Ruben Loftus-Cheek,100.0
2018-2019,Pedro Obiang,Rui Pedro da Rocha Fonte,86.0
2018-2019,Rui Patrício,Rui Pedro da Rocha Fonte,86.0
2018-2019,Pedro,Rui Pedro da Rocha Fonte,90.0
2018-2019,Rui Patrício,Rui Pedro dos Santos Patrício,86.0
2018-2019,Ryan Bennett,Ryan Bennett,100.0
2018-2019,Ryan Bertrand,Ryan Bertrand,100.0
2018-2019,Ryan Fraser,Ryan Fraser,100.0
2018-2019,Ryan Babel,Ryan Fredericks,86.0
2018-2019,Fred,Ryan Fredericks,90.0
2018-2019,Ryan Fredericks,Ryan Fredericks,100.0
2018-2019,Ryan Sessegnon,Ryan Sessegnon,100.0
2018-2019,Diogo Dalot,Rúben Diogo da Silva Neves,86.0
2018-2019,Diogo Jota,Rúben Diogo da Silva Neves,86.0
2018-2019,Rúben Neves,Rúben Diogo da Silva Neves,86.0
2018-2019,Rúben Vinagre,Rúben Diogo da Silva Neves,86.0
2018-2019,Rúben Neves,Rúben Gonçalo Silva Nascimento Vinagre,86.0
2018-2019,Rúben Vinagre,Rúben Gonçalo Silva Nascimento Vinagre,86.0
2018-2019,Sadio Mané,Sadio Mané,100.0
2018-2019,Salomón Rondón,Salomón Rondón,100.0
2018-2019,,Sam Baldock,
2018-2019,,Sam Byram,
2018-2019,,Sam McQueen,
2018-2019,Sam Vokes,Sam Vokes,100.0
2018-2019,,Sandro Ramírez,
2018-2019,Scott Dann,Scott Dann,100.0
2018-2019,Scott McTominay,Scott Dann,86.0
2018-2019,,Scott Malone,
2018-2019,Scott Dann,Scott McTominay,86.0
2018-2019,Scott McTominay,Scott McTominay,100.0
2018-2019,Sead Kolašinac,Sead Kolasinac,93.0
2018-2019,Séamus Coleman,Seamus Coleman,93.0
2018-2019,Sean Morrison,Sean Morrison,100.0
2018-2019,Sebastian Prödl,Sebastian Prödl,100.0
2018-2019,Serge Aurier,Serge Aurier,100.0
2018-2019,Sergio Agüero,Sergio Agüero,100.0
2018-2019,Sergio Rico,Sergio Rico,100.0
2018-2019,,Sergio Romero,
2018-2019,Shane Duffy,Shane Duffy,100.0
2018-2019,Shane Long,Shane Long,100.0
2018-2019,Shinji Okazaki,Shinji Okazaki,100.0
2018-2019,Shkodran Mustafi,Shkodran Mustafi,100.0
2018-2019,Simon Francis,Simon Francis,100.0
2018-2019,,Simon Mignolet,
2018-2019,,Sofiane Boufal,
2018-2019,Sokratis Papastathopoulos,Sokratis Papastathopoulos,100.0
2018-2019,,Solomon March,
2018-2019,Sol Bamba,Sol Bamba,100.0
2018-2019,Stefano Okaka,Stefano Okaka,100.0
2018-2019,Stefan Johansen,Stefan Johansen,100.0
2018-2019,Stephan Lichtsteiner,Stephan Lichtsteiner,100.0
2018-2019,Stephen Ward,Stephen Ward,100.0
2018-2019,Steven Davis,Steven Davis,100.0
2018-2019,Steven Defour,Steven Defour,100.0
2018-2019,Steve Cook,Steve Cook,100.0
2018-2019,Steve Mounié,Steve Mounie,92.0
2018-2019,Stuart Armstrong,Stuart Armstrong,100.0
2018-2019,,Sullay Kaikai,
2018-2019,Ki Sung-yueng,Sung-yueng Ki,95.0
2018-2019,,Tammy Abraham,
2018-2019,Terence Kongolo,Terence Kongolo,100.0
2018-2019,Theo Walcott,Theo Walcott,100.0
2018-2019,,Thibaut Courtois,
2018-2019,,Tiemoué Bakayoko,
2018-2019,Timothy Fosu-Mensah,Timothy Fosu-Mensah,100.0
2018-2019,Tim Ream,Tim Ream,100.0
2018-2019,Toby Alderweireld,Toby Alderweireld,100.0
2018-2019,,Tomer Hemed,
2018-2019,Tommy Smith,Tommy Smith,100.0
2018-2019,Tom Cairney,Tom Cairney,100.0
2018-2019,Tom Cleverley,Tom Cleverley,100.0
2018-2019,Tom Davies,Tom Davies,100.0
2018-2019,Tom Heaton,Tom Heaton,100.0
2018-2019,Tom Cleverley,Tom Ince,86.0
2018-2019,Trent Alexander-Arnold,Trent Alexander-Arnold,100.0
2018-2019,Troy Deeney,Troy Deeney,100.0
2018-2019,Tyrone Mings,Tyrone Mings,100.0
2018-2019,Vicente Guaita,Vicente Guaita,100.0
2018-2019,Vicente Iborra,Vicente Iborra,100.0
2018-2019,Victor Lindelöf,Victor Lindelöf,100.0
2018-2019,Victor Moses,Victor Moses,100.0
2018-2019,Victor Wanyama,Victor Wanyama,100.0
2018-2019,Vincent Kompany,Vincent Kompany,100.0
2018-2019,Virgil van Dijk,Virgil van Dijk,100.0
2018-2019,Víctor Camarasa,Víctor Camarasa,100.0
2018-2019,Wayne Hennessey,Wayne Hennessey,100.0
2018-2019,Wesley Hoedt,Wesley Hoedt,100.0
2018-2019,Morgan Gibbs-White,Wes Morgan,86.0
2018-2019,Wes Morgan,Wes Morgan,100.0
2018-2019,Morgan Schneiderlin,Wes Morgan,86.0
2018-2019,Fred,Wilfred Ndidi,90.0
2018-2019,Wilfred Ndidi,Wilfred Ndidi,100.0
2018-2019,Wilfried Zaha,Wilfried Zaha,100.0
2018-2019,Willian,Willian Borges Da Silva,90.0
2018-2019,Willy Boly,Willy Boly,100.0
2018-2019,Willy Caballero,Willy Boly,86.0
2018-2019,Willy Boly,Willy Caballero,86.0
2018-2019,Willy Caballero,Willy Caballero,100.0
2018-2019,Will Hughes,Will Hughes,100.0
2018-2019,Will Norris,Will Norris,100.0
2018-2019,,Winston Reid,
2018-2019,Xherdan Shaqiri,Xherdan Shaqiri,100.0
2018-2019,,Yannick Bolasie,
2018-2019,Yerry Mina,Yerry Mina,100.0
2018-2019,,Yohan Benalouane,
2018-2019,Yoshinori Mutō,Yoshinori Muto,93.0
2018-2019,,Younes Kaboul,
2018-2019,Yves Bissouma,Yves Bissouma,100.0
2018-2019,Álvaro Morata,Álvaro Morata,100.0
2018-2019,Kurt Zouma,Kurt Zouma,100.0
2018-2019,Nampalys Mendy,Nampalys Mendy,100.0
2018-2019,,Arijanet Muric,
2018-2019,,Jamie Sterry,
2018-2019,,Kieran Dowell,
2018-2019,Sean Longstaff,Sean Longstaff,100.0
2018-2019,,Brian Murphy,
2018-2019,Dwight McNeil,Dwight McNeil,100.0
2018-2019,Kadeem Harris,Kadeem Harris,100.0
2018-2019,Paulo Gazzaniga,Paulo Gazzaniga,100.0
2018-2019,,Ryan Schofield,
2018-2019,,Tyias Browning,
