week,id,name,pos,type,team,buy_price,sell_price,predicted_xP,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
5,28,Jesus,FWD,4,Arsenal,0.0,0.0,4.7,1,1,-1,0,0,0,0,1,4.701320982
5,80,Toney,FWD,4,Brentford,0.0,0.0,3.65,1,1,-1,0,0,0,0,1,3.650321643
5,182,Pickford,GKP,1,Everton,0.0,0.0,3.94,1,0,0,0,0,0,0,0,0.0
5,33,Digne,DEF,2,Aston Villa,0.0,0.0,2.82,1,0,1,0,0,0,0,0,0.0
5,346,Andreas,MID,3,Fulham,0.0,0.0,2.68,1,0,2,0,0,0,0,0,0.0
5,380,Taylor,FWD,4,Nott'm Forest,0.0,0.0,0.73,1,0,3,0,0,0,0,0,0.0
6,238,Meslier,GKP,1,Leeds,0.0,0.0,3.69,1,1,-1,0,0,0,0,1,3.688786376
6,285,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,5.48,1,1,-1,0,1,0,0,1,5.478189287
6,306,Cancelo,DEF,2,Man City,0.0,0.0,4.48,1,1,-1,0,0,0,0,1,4.481732432
6,284,Robertson,DEF,2,Liverpool,0.0,0.0,4.48,1,1,-1,0,0,0,0,1,4.477648163
6,106,Dunk,DEF,2,Brighton,0.0,0.0,3.7,1,1,-1,0,0,0,0,1,3.699572319
6,283,Salah,MID,3,Liverpool,0.0,0.0,6.25,1,1,-1,1,0,0,0,2,12.504413944
6,261,Maddison,MID,3,Leicester,0.0,0.0,4.03,1,1,-1,0,0,0,0,1,4.029453643
6,13,Saka,MID,3,Arsenal,0.0,0.0,3.78,1,1,-1,0,0,0,0,1,3.776296973
6,19,Martinelli,MID,3,Arsenal,0.0,0.0,2.91,1,1,-1,0,0,0,0,1,2.912751608
6,80,Toney,FWD,4,Brentford,0.0,0.0,5.08,1,1,-1,0,0,0,0,1,5.084866454
6,28,Jesus,FWD,4,Arsenal,0.0,0.0,4.05,1,1,-1,0,0,0,0,1,4.0545806
6,182,Pickford,GKP,1,Everton,0.0,0.0,2.48,1,0,0,0,0,0,0,0,0.0
6,33,Digne,DEF,2,Aston Villa,0.0,0.0,2.67,1,0,1,0,0,0,0,0,0.0
6,346,Andreas,MID,3,Fulham,0.0,0.0,2.23,1,0,2,0,0,0,0,0,0.0
6,380,Taylor,FWD,4,Nott'm Forest,0.0,0.0,0.89,1,0,3,0,0,0,0,0,0.0
