season,fbref_name,fpl_name,fuzzy_score,total_points,review,duplicated
2021-2022,Max Aarons,Max Aarons,100,55.0,,
2021-2022,Che Adams,Che Adams,100,103.0,,
2021-2022,Rayan Aït Nouri,Rayan Ait Nouri,93,87.0,,
2021-2022,Kristoffer Ajer,Kristoffer Ajer,100,81.0,,
2021-2022,Nathan Aké,Nathan Aké,100,54.0,,
2021-2022,Marc Albrighton,Marc Albrighton,100,40.0,,
2021-2022,Thiago Alcántara,Thiago Alcántara do Nascimento,100,69.0,,
2021-2022,Trent Alexander-Arnold,Trent Alexander-Arnold,100,208.0,,
2021-2022,Alisson,Alisson Ramses Becker,90,176.0,,
2021-2022,Allan,Allan Marques Loureiro,100,58.0,,
2021-2022,Dele Alli,Dele Alli,100,35.0,,
2021-2022,Miguel Almirón,Miguel Almirón,100,59.0,,
2021-2022,Marcos Alonso,Marcos Alonso,100,128.0,,
2021-2022,Steven Alzate,Steven Alzate,100,13.0,,
2021-2022,Daniel Amartey,Daniel Amartey,100,55.0,,
2021-2022,Joachim Andersen,Joachim Andersen,100,124.0,,
2021-2022,Michail Antonio,Michail Antonio,100,140.0,,
2021-2022,Cameron Archer,Cameron Archer,100,3.0,,
2021-2022,Alphonse Areola,Alphonse Areola,100,2.0,,
2021-2022,Adam Armstrong,Adam Armstrong,100,57.0,,
2021-2022,Stuart Armstrong,Stuart Armstrong,100,57.0,,
2021-2022,Kepa Arrizabalaga,Kepa Arrizabalaga,100,19.0,,
2021-2022,Harrison Ashby,Harrison Ashby,100,1.0,,
2021-2022,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,100,44.0,,
2021-2022,Jordan Ayew,Jordan Ayew,100,77.0,,
2021-2022,Luke Ayling,Luke Ayling,100,55.0,,
2021-2022,César Azpilicueta,César Azpilicueta,100,87.0,,
2021-2022,Daniel Bachmann,Daniel Bachmann,100,25.0,,
2021-2022,Leon Bailey,Leon Bailey,100,37.0,,
2021-2022,Eric Bailly,Eric Bailly,100,2.0,,
2021-2022,Folarin Balogun,Folarin Balogun,100,2.0,,
2021-2022,Patrick Bamford,Patrick Bamford,100,28.0,,
2021-2022,Shandon Baptiste,Shandon Baptiste,100,35.0,,
2021-2022,Ross Barkley,Ross Barkley,100,14.0,,
2021-2022,Ashley Barnes,Ashley Barnes,100,32.0,,
2021-2022,Harvey Barnes,Harvey Barnes,100,137.0,,
2021-2022,Lewis Bate,Lewis Bate,100,3.0,,
2021-2022,Mads Bech Sørensen,Mads Bech Sørensen,100,22.0,,
2021-2022,Jan Bednarek,Jan Bednarek,100,94.0,,
2021-2022,Donny van de Beek,Donny van de Beek,100,31.0,,
2021-2022,Asmir Begović,Asmir Begović,100,13.0,,
2021-2022,Saïd Benrahma,Saïd Benrahma,100,138.0,,
2021-2022,Rodrigo Bentancur,Rodrigo Bentancur,100,52.0,,
2021-2022,Christian Benteke,Christian Benteke,100,58.0,,
2021-2022,Jóhann Berg Guðmundsson,Johann Berg Gudmundsson,91,33.0,,
2021-2022,Steven Bergwijn,Steven Bergwijn,100,55.0,,
2021-2022,Ryan Bertrand,Ryan Bertrand,100,4.0,,
2021-2022,Mads Bidstrup,Mads Bidstrup,100,4.0,,
2021-2022,Yves Bissouma,Yves Bissouma,100,66.0,,
2021-2022,Willy Boly,Willy Boly,100,17.0,,
2021-2022,Jarrod Bowen,Jarrod Bowen,100,206.0,,
2021-2022,Jarrad Branthwaite,Jarrad Branthwaite,100,7.0,,
2021-2022,Armando Broja,Armando Broja,100,92.0,,
2021-2022,Josh Brownhill,Josh Brownhill,100,92.0,,
2021-2022,Lewis Brunt,Lewis Brunt,100,1.0,,
2021-2022,Bryan,,100,,,
2021-2022,Robert Sanchez,,100,,,
2021-2022,Valery,,100,,,
2021-2022,Emi Buendía,Emiliano Buendía Stati,86,107.0,True,
2021-2022,Dan Burn,Dan Burn,100,92.0,,
2021-2022,Jack Butland,Jack Butland,100,30.0,,
2021-2022,Sam Byram,Sam Byram,100,20.0,,
2021-2022,Willy Caballero,Willy Caballero,100,2.0,,
2021-2022,Moisés Caicedo,Moisés Caicedo,100,27.0,,
2021-2022,Dominic Calvert-Lewin,Dominic Calvert-Lewin,100,64.0,,
2021-2022,Chem Campbell,Chem Campbell,100,1.0,,
2021-2022,João Cancelo,João Cancelo,100,201.0,,
2021-2022,Sergi Canós,Sergi Canós,100,81.0,,
2021-2022,Todd Cantwell,Todd Cantwell,100,10.0,,
2021-2022,Matty Cash,Matthew Cash,82,147.0,True,
2021-2022,Timothy Castagne,Timothy Castagne,100,75.0,,
2021-2022,Jonny Castro,Jonathan Castro Otto,100,38.0,,
2021-2022,Craig Cathcart,Craig Cathcart,100,50.0,,
2021-2022,Edinson Cavani,Edinson Cavani,100,34.0,,
2021-2022,Kayky Chagas,Kayky da Silva Chagas,86,1.0,True,
2021-2022,Trevoh Chalobah,Trevoh Chalobah,100,99.0,,
2021-2022,Calum Chambers,Calum Chambers,100,42.0,,
2021-2022,Daniel Chesters,Daniel Chesters,100,1.0,,
2021-2022,Ben Chilwell,Ben Chilwell,100,55.0,,
2021-2022,Chiquinho,Francisco Jorge Tomás Oliveira,100,20.0,,
2021-2022,Hamza Choudhury,Hamza Choudhury,100,8.0,,
2021-2022,Andreas Christensen,Andreas Christensen,100,69.0,,
2021-2022,Carney Chukwuemeka,Carney Chukwuemeka,100,16.0,,
2021-2022,Ciaran Clark,Ciaran Clark,100,14.0,,
2021-2022,Tom Cleverley,Tom Cleverley,100,48.0,,
2021-2022,Nathaniel Clyne,Nathaniel Clyne,100,59.0,,
2021-2022,Conor Coady,Conor Coady,100,138.0,,
2021-2022,Séamus Coleman,Seamus Coleman,93,79.0,,
2021-2022,Nathan Collins,Nathan Collins,100,55.0,,
2021-2022,Aaron Connolly,Aaron Connolly,100,5.0,,
2021-2022,Liam Cooper,Liam Cooper,100,60.0,,
2021-2022,Jack Cork,Jack Cork,100,48.0,,
2021-2022,Maxwel Cornet,Maxwel Cornet,100,104.0,,
2021-2022,Hélder Costa,Hélder Wander Sousa de Azevedo e Costa,86,1.0,True,
2021-2022,Vladimír Coufal,Vladimir Coufal,93,70.0,,
2021-2022,Philippe Coutinho,Philippe Coutinho Correia,95,83.0,,
2021-2022,Aaron Cresswell,Aaron Cresswell,100,115.0,,
2021-2022,Charlie Cresswell,Charlie Cresswell,100,4.0,,
2021-2022,Cucho,Juan Camilo Hernández Suárez,100,62.0,,
2021-2022,Marc Cucurella,Marc Cucurella,100,126.0,,
2021-2022,Luke Cundle,Luke Cundle,100,7.0,,
2021-2022,Patson Daka,Patson Daka,100,70.0,,
2021-2022,Stuart Dallas,Stuart Dallas,100,80.0,,
2021-2022,Diogo Dalot,José Diogo Dalot Teixeira,90,54.0,,
2021-2022,Karl Darlow,Karl Darlow,100,20.0,,
2021-2022,Josh Dasilva,Pelenda Joshua Dasilva,86,7.0,True,
2021-2022,Ben Davies,Ben Davies,100,105.0,,
2021-2022,Tom Davies,Tom Davies,100,12.0,,
2021-2022,Keinan Davis,Keinan Davis,100,1.0,,
2021-2022,Craig Dawson,Craig Dawson,100,90.0,,
2021-2022,Kevin De Bruyne,Kevin De Bruyne,100,196.0,,
2021-2022,Troy Deeney,Troy Deeney,100,2.0,,
2021-2022,Liam Delap,Liam Delap,100,1.0,,
2021-2022,Fabian Delph,Fabian Delph,100,18.0,,
2021-2022,Leander Dendoncker,Leander Dendoncker,100,76.0,,
2021-2022,Emmanuel Dennis,Emmanuel Dennis,100,134.0,,
2021-2022,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,100,70.0,,
2021-2022,Ibrahima Diallo,Ibrahima Diallo,100,44.0,,
2021-2022,Rúben Dias,Rúben Gato Alves Dias,100,141.0,,
2021-2022,Luis Díaz,Luis Díaz,100,64.0,,
2021-2022,Eric Dier,Eric Dier,100,132.0,,
2021-2022,Lucas Digne,Lucas Digne,100,83.0,,
2021-2022,Issa Diop,Issa Diop,100,30.0,,
2021-2022,Moussa Djenepo,Moussa Djenepo,100,13.0,,
2021-2022,Lewis Dobbin,Lewis Dobbin,100,2.0,,
2021-2022,Matt Doherty,Matt Doherty,100,67.0,,
2021-2022,Gabriel Dos Santos,Gabriel dos Santos Magalhães,100,146.0,,
2021-2022,Abdoulaye Doucouré,Abdoulaye Doucouré,100,90.0,,
2021-2022,Kieran Dowell,Kieran Dowell,100,41.0,,
2021-2022,Cody Drameh,Cody Drameh,100,0.0,,
2021-2022,Martin Dúbravka,Martin Dubravka,93,96.0,,
2021-2022,Shane Duffy,Shane Duffy,100,48.0,,
2021-2022,Paul Dummett,Paul Dummett,100,7.0,,
2021-2022,Lewis Dunk,Lewis Dunk,100,92.0,,
2021-2022,Ederson,Ederson Santana de Moraes,90,155.0,,
2021-2022,Odsonne Édouard,Odsonne Edouard,93,87.0,,
2021-2022,CJ Egan-Riley,Conrad Egan-Riley,83,1.0,True,
2021-2022,Anthony Elanga,Anthony Elanga,100,59.0,,
2021-2022,Harvey Elliott,Harvey Elliott,100,12.0,,
2021-2022,Mohamed Elneny,Mohamed Naser El Sayed Elneny,86,27.0,True,
2021-2022,Mohamed Elyounoussi,Mohamed Elyounoussi,100,90.0,,
2021-2022,Emerson,Emerson Aparecido Leite de Souza Junior,90,102.0,,
2021-2022,Christian Eriksen,Christian Eriksen,100,43.0,,
2021-2022,Oghenekaro Etebo,Oghenekaro Peter Etebo,95,10.0,,
2021-2022,Jonny Evans,Jonny Evans,100,39.0,,
2021-2022,Eberechi Eze,Eberechi Eze,100,31.0,,
2021-2022,Łukasz Fabiański,Lukasz Fabianski,88,136.0,True,
2021-2022,Fabinho,Fabio Henrique Tavares,100,97.0,,
2021-2022,Kiko Femenía,Francisco Femenía Far,86,53.0,True,
2021-2022,Evan Ferguson,Evan Ferguson,100,1.0,,
2021-2022,Nathan Ferguson,Nathan Ferguson,100,1.0,,
2021-2022,Bruno Fernandes,Bruno Borges Fernandes,100,151.0,,
2021-2022,Álvaro Fernández,Álvaro Fernández,100,31.0,,
2021-2022,Federico Fernández,Federico Fernández,100,11.0,,
2021-2022,Fernandinho,Fernando Luiz Rosa,100,45.0,,
2021-2022,Roberto Firmino,Roberto Firmino,100,62.0,,
2021-2022,Junior Firpo,Héctor Junior Firpo Adames,90,22.0,,
2021-2022,Ashley Fletcher,Ashley Fletcher,100,3.0,,
2021-2022,Phil Foden,Phil Foden,100,137.0,,
2021-2022,Wesley Fofana,Wesley Fofana,100,17.0,,
2021-2022,Pablo Fornals,Pablo Fornals,100,117.0,,
2021-2022,Adam Forshaw,Adam Forshaw,100,38.0,,
2021-2022,Marcus Forss,Marcus Forss,100,11.0,,
2021-2022,Fraser Forster,Fraser Forster,100,57.0,,
2021-2022,Ben Foster,Ben Foster,100,81.0,,
2021-2022,Tariqe Fosu,Tariqe Fosu-Henry,90,1.0,,
2021-2022,Ryan Fraser,Ryan Fraser,100,78.0,,
2021-2022,Fred,Frederico Rodrigues de Paula Santos,100,93.0,,
2021-2022,Ryan Fredericks,Ryan Fredericks,100,7.0,,
2021-2022,Leo Fuhr Hjelde,Leo Fuhr Hjelde,100,2.0,,
2021-2022,Conor Gallagher,Conor Gallagher,100,140.0,,
2021-2022,Alejandro Garnacho,Alejandro Garnacho Ferreyra,90,2.0,,
2021-2022,Dwight Gayle,Dwight Gayle,100,7.0,,
2021-2022,Jean-Philippe Gbamin,Jean-Philippe Gbamin,100,3.0,,
2021-2022,David de Gea,David de Gea,100,132.0,,
2021-2022,Joe Gelhardt,Joe Gelhardt,100,43.0,,
2021-2022,Anwar El Ghazi,Anwar El Ghazi,100,22.0,,
2021-2022,Saman Ghoddos,Saman Ghoddos,100,30.0,,
2021-2022,Dimitris Giannoulis,Dimitris Giannoulis,100,39.0,,
2021-2022,Morgan Gibbs-White,Morgan Gibbs-White,100,1.0,,
2021-2022,Ben Gibson,Ben Gibson,100,53.0,,
2021-2022,Billy Gilmour,Billy Gilmour,100,49.0,,
2021-2022,Ben Godfrey,Ben Godfrey,100,45.0,,
2021-2022,André Gomes,André Filipe Tavares Gomes,86,18.0,True,
2021-2022,Toti Gomes,Toti António Gomes,100,6.0,,
2021-2022,Joe Gomez,Joseph Gomez,86,22.0,True,
2021-2022,Charlie Goode,Charlie Goode,100,10.0,,
2021-2022,Anthony Gordon,Anthony Gordon,100,100.0,,
2021-2022,Kaide Gordon,Kaide Gordon,100,1.0,,
2021-2022,Dan Gosling,Dan Gosling,100,11.0,,
2021-2022,Demarai Gray,Demarai Gray,100,106.0,,
2021-2022,Jack Grealish,Jack Grealish,100,86.0,,
2021-2022,Mason Greenwood,Mason Greenwood,100,71.0,,
2021-2022,Sam Greenwood,Sam Greenwood,100,15.0,,
2021-2022,Pascal Groß,Pascal Groß,100,88.0,,
2021-2022,Vicente Guaita,Vicente Guaita,100,119.0,,
2021-2022,Marc Guéhi,Marc Guéhi,100,123.0,,
2021-2022,Bruno Guimarães,Bruno Guimarães Rodriguez Moura,90,67.0,,
2021-2022,İlkay Gündoğan,Ilkay Gündogan,93,124.0,,
2021-2022,Angus Gunn,Angus Gunn,100,31.0,,
2021-2022,Grant Hanley,Grant Hanley,100,71.0,,
2021-2022,Jack Harrison,Jack Harrison,100,117.0,,
2021-2022,Kortney Hause,Kortney Hause,100,20.0,,
2021-2022,Kai Havertz,Kai Havertz,100,112.0,,
2021-2022,Isaac Hayden,Isaac Hayden,100,28.0,,
2021-2022,Hwang Hee-chan,Hee-Chan Hwang,95,81.0,,
2021-2022,Jordan Henderson,Jordan Henderson,100,110.0,,
2021-2022,Jeff Hendrick,Jeff Hendrick,100,8.0,,
2021-2022,Wayne Hennessey,Wayne Hennessey,100,4.0,,
2021-2022,Rico Henry,Rico Henry,100,108.0,,
2021-2022,Son Heung-min,Heung-Min Son,95,258.0,,
2021-2022,Ki-Jana Hoever,Ki-Jana Hoever,100,14.0,,
2021-2022,Rob Holding,Rob Holding,100,29.0,,
2021-2022,Mason Holgate,Mason Holgate,100,62.0,,
2021-2022,Callum Hudson-Odoi,Callum Hudson-Odoi,100,49.0,,
2021-2022,Will Hughes,Will Hughes,100,34.0,,
2021-2022,Pierre Højbjerg,Pierre-Emile Højbjerg,95,109.0,,
2021-2022,Adam Idah,Adam Idah,100,36.0,,
2021-2022,Kelechi Iheanacho,Kelechi Iheanacho,100,80.0,,
2021-2022,Danny Ings,Danny Ings,100,106.0,,
2021-2022,Tim Iroegbunam,Tim Iroegbunam,100,4.0,,
2021-2022,Alex Iwobi,Alex Iwobi,100,78.0,,
2021-2022,Daniel James,Daniel James,100,91.0,,
2021-2022,Reece James,Reece James,100,141.0,,
2021-2022,Vitaly Janelt,Vitaly Janelt,100,90.0,,
2021-2022,Pontus Jansson,Pontus Jansson,100,122.0,,
2021-2022,Mathias Jensen,Mathias Jensen,100,54.0,,
2021-2022,Gabriel Jesus,Gabriel Fernando de Jesus,100,120.0,,
2021-2022,Raúl Jiménez,Raúl Jiménez,100,101.0,,
2021-2022,João Pedro,João Pedro Junqueira de Jesus,100,60.0,,
2021-2022,Joelinton,Joelinton Cássio Apolinário de Lira,90,83.0,,
2021-2022,Ben Johnson,Ben Johnson,100,48.0,,
2021-2022,Curtis Jones,Curtis Jones,100,40.0,,
2021-2022,Phil Jones,Phil Jones,100,4.0,,
2021-2022,Jorginho,Jorge Luiz Frello Filho,100,106.0,,
2021-2022,Diogo Jota,Diogo Teixeira da Silva,100,175.0,,
2021-2022,James Justin,James Justin,100,29.0,,
2021-2022,Mathias Jørgensen,Mathias Jorgensen,94,18.0,,
2021-2022,Ozan Kabak,Ozan Kabak,100,18.0,,
2021-2022,Christian Kabasele,Christian Kabasele,100,21.0,,
2021-2022,Samuel Kalu,Samuel Kalu,100,7.0,,
2021-2022,Hassane Kamara,Hassane Kamara,100,38.0,,
2021-2022,Harry Kane,Harry Kane,100,192.0,,
2021-2022,N'Golo Kanté,N'Golo Kanté,100,79.0,,
2021-2022,Edo Kayembe,Edo Kayembe,100,24.0,,
2021-2022,Moise Kean,Moise Kean,100,1.0,,
2021-2022,Michael Keane,Michael Keane,100,102.0,,
2021-2022,Naby Keïta,Naby Keita,90,65.0,,
2021-2022,Caoimhín Kelleher,Caoimhin Kelleher,94,8.0,,
2021-2022,Kenedy,Robert Kenedy Nunes do Nascimento,90,4.0,,
2021-2022,Jonjoe Kenny,Jonjoe Kenny,100,21.0,,
2021-2022,Max Kilman,Max Kilman,100,106.0,,
2021-2022,Joshua King,Joshua King,100,87.0,,
2021-2022,Kristoffer Klaesson,Kristoffer Klaesson,100,2.0,,
2021-2022,Mateusz Klich,Mateusz Klich,100,61.0,,
2021-2022,Robin Koch,Robin Koch,100,23.0,,
2021-2022,Sead Kolašinac,Sead Kolasinac,93,0.0,,
2021-2022,Ibrahima Konaté,Ibrahima Konaté,100,33.0,,
2021-2022,Ezri Konsa,Ezri Konsa Ngoyo,90,78.0,,
2021-2022,Cheikhou Kouyaté,Cheikhou Kouyaté,100,77.0,,
2021-2022,Mateo Kovačić,Mateo Kovačić,100,76.0,,
2021-2022,Emil Krafth,Emil Krafth,100,58.0,,
2021-2022,Alex Král,Alex Kral,89,1.0,True,
2021-2022,Tim Krul,Tim Krul,100,90.0,,
2021-2022,Juraj Kucka,Juraj Kucka,100,54.0,,
2021-2022,Dejan Kulusevski,Dejan Kulusevski,100,99.0,,
2021-2022,Alexandre Lacazette,Alexandre Lacazette,100,90.0,,
2021-2022,Adam Lallana,Adam Lallana,100,44.0,,
2021-2022,Tariq Lamptey,Tariq Lamptey,100,74.0,,
2021-2022,Manuel Lanzini,Manuel Lanzini,100,92.0,,
2021-2022,Aymeric Laporte,Aymeric Laporte,100,160.0,,
2021-2022,Jamaal Lascelles,Jamaal Lascelles,100,47.0,,
2021-2022,Pierre Lees-Melou,Pierre Lees-Melou,100,70.0,,
2021-2022,Aaron Lennon,Aaron Lennon,100,60.0,,
2021-2022,Bernd Leno,Bernd Leno,100,10.0,,
2021-2022,Jamal Lewis,Jamal Lewis,100,10.0,,
2021-2022,Victor Lindelöf,Victor Lindelöf,100,66.0,,
2021-2022,Jesse Lingard,Jesse Lingard,100,29.0,,
2021-2022,Valentino Livramento,Tino Livramento,86,80.0,True,
2021-2022,Diego Llorente,Diego Llorente,100,77.0,,
2021-2022,Hugo Lloris,Hugo Lloris,100,158.0,,
2021-2022,Giovani Lo Celso,Giovani Lo Celso,100,11.0,,
2021-2022,Jürgen Locadia,Jürgen Locadia,100,1.0,,
2021-2022,Ruben Loftus-Cheek,Ruben Loftus-Cheek,100,52.0,,
2021-2022,Kevin Long,Kevin Long,100,7.0,,
2021-2022,Shane Long,Shane Long,100,19.0,,
2021-2022,Sean Longstaff,Sean Longstaff,100,48.0,,
2021-2022,Ademola Lookman,Ademola Lookman,100,76.0,,
2021-2022,Jonas Lössl,Jonas Lössl,100,2.0,,
2021-2022,Imran Louza,Imrân Louza,91,31.0,,
2021-2022,Matthew Lowton,Matthew Lowton,100,65.0,,
2021-2022,Douglas Luiz,Douglas Luiz Soares de Paulo,90,89.0,,
2021-2022,Romelu Lukaku,Romelu Lukaku,100,87.0,,
2021-2022,Lyanco,Lyanco Evangelista Silveira Neves Vojnovic,90,19.0,,
2021-2022,Alexis Mac Allister,Alexis Mac Allister,100,93.0,,
2021-2022,James Maddison,James Maddison,100,181.0,,
2021-2022,Harry Maguire,Harry Maguire,100,69.0,,
2021-2022,Riyad Mahrez,Riyad Mahrez,100,135.0,,
2021-2022,Ainsley Maitland-Niles,Ainsley Maitland-Niles,100,12.0,,
2021-2022,Sadio Mané,Sadio Mané,100,183.0,,
2021-2022,Javier Manquillo,Javier Manquillo,100,38.0,,
2021-2022,Fernando Marçal,Fernando Marçal,100,67.0,,
2021-2022,Solly March,Solomon March,75,61.0,True,
2021-2022,Pablo Marí,Pablo Marí,100,1.0,,
2021-2022,Anthony Martial,Anthony Martial,100,14.0,,
2021-2022,Martinelli,Gabriel Teodoro Martinelli Silva,90,110.0,,
2021-2022,Emiliano Martínez,Emiliano Martínez,100,129.0,,
2021-2022,Adam Masina,Adam Masina,100,25.0,,
2021-2022,Arthur Masuaku,Arthur Masuaku,100,29.0,,
2021-2022,Juan Mata,Juan Mata,100,10.0,,
2021-2022,Jean-Philippe Mateta,Jean-Philippe Mateta,100,61.0,,
2021-2022,Nemanja Matić,Nemanja Matic,92,52.0,,
2021-2022,Joël Matip,Joel Matip,90,170.0,,
2021-2022,Neal Maupay,Neal Maupay,100,98.0,,
2021-2022,Bryan Mbeumo,Bryan Mbeumo,100,119.0,,
2021-2022,James McArthur,James McArthur,100,54.0,,
2021-2022,James Mcatee,James McAtee,100,2.0,,
2021-2022,Kasey McAteer,Kasey McAteer,100,1.0,,
2021-2022,Liam McCarron,Liam McCarron,100,1.0,,
2021-2022,Alex McCarthy,Alex McCarthy,100,55.0,,
2021-2022,John McGinn,John McGinn,100,110.0,,
2021-2022,Stuart McKinstry,Stuart McKinstry,100,1.0,,
2021-2022,Kenny McLean,Kenny McLean,100,69.0,,
2021-2022,Dwight McNeil,Dwight McNeil,100,84.0,,
2021-2022,Scott McTominay,Scott McTominay,100,68.0,,
2021-2022,Ben Mee,Ben Mee,100,74.0,,
2021-2022,Hannibal Mejbri,Hannibal Mejbri,100,1.0,,
2021-2022,Benjamin Mendy,Benjamin Mendy,100,3.0,,
2021-2022,Edouard Mendy,Edouard Mendy,100,130.0,,
2021-2022,Nampalys Mendy,Nampalys Mendy,100,24.0,,
2021-2022,Illan Meslier,Illan Meslier,100,106.0,,
2021-2022,Luka Milivojević,Luka Milivojevic,94,19.0,,
2021-2022,James Milner,James Milner,100,38.0,,
2021-2022,Yerry Mina,Yerry Mina,100,24.0,,
2021-2022,Takumi Minamino,Takumi Minamino,100,28.0,,
2021-2022,Tyrone Mings,Tyrone Mings,100,118.0,,
2021-2022,Tyrick Mitchell,Tyrick Mitchell,100,109.0,,
2021-2022,Jakub Moder,Jakub Moder,100,58.0,,
2021-2022,Wesley Moraes,Wesley Moraes,100,1.0,,
2021-2022,Tyler Morton,Tyler Morton,100,1.0,,
2021-2022,Mason Mount,Mason Mount,100,169.0,,
2021-2022,Lucas Moura,Lucas Rodrigues Moura da Silva,100,87.0,,
2021-2022,João Moutinho,João Filipe Iria Santos Moutinho,86,96.0,True,
2021-2022,Bali Mumba,Bali Mumba,100,0.0,,
2021-2022,Jacob Murphy,Jacob Murphy,100,62.0,,
2021-2022,Enock Mwepu,Enock Mwepu,100,58.0,,
2021-2022,Vitaliy Mykolenko,Vitalii Mykolenko,94,42.0,,
2021-2022,Marvelous Nakamba,Marvelous Nakamba,100,22.0,,
2021-2022,Wilfred Ndidi,Wilfred Ndidi,100,41.0,,
2021-2022,Tanguy Ndombele,Tanguy Ndombele,100,22.0,,
2021-2022,Reiss Nelson,Reiss Nelson,100,1.0,,
2021-2022,Pedro Neto,Pedro Lomba Neto,100,22.0,,
2021-2022,Rúben Neves,Rúben da Silva Neves,100,95.0,,
2021-2022,Jeremy Ngakia,Jeremy Ngakia,100,28.0,,
2021-2022,Saúl Ñíguez,Saúl Ñíguez,100,16.0,,
2021-2022,Eddie Nketiah,Edward Nketiah,81,55.0,True,
2021-2022,Nicolas Nkoulou,Nicolas Nkoulou,100,5.0,,
2021-2022,Mark Noble,Mark Noble,100,19.0,,
2021-2022,Mathias Normann,Mathias Normann,100,52.0,,
2021-2022,Christian Nørgaard,Christian Nørgaard,100,101.0,,
2021-2022,Angelo Ogbonna,Angelo Ogbonna,100,40.0,,
2021-2022,Michael Olise,Michael Olise,100,73.0,,
2021-2022,Robin Olsen,Robin Olsen,100,1.0,,
2021-2022,Andrew Omobamidele,Andrew Omobamidele,100,14.0,,
2021-2022,Tyler Onyango,Tyler Onyango,100,3.0,,
2021-2022,Frank Onyeka,Frank Onyeka,100,35.0,,
2021-2022,Divock Origi,Divock Origi,100,22.0,,
2021-2022,Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,100,42.0,,
2021-2022,Cole Palmer,Cole Palmer,100,9.0,,
2021-2022,Emerson Palmieri,Emerson Palmieri dos Santos,90,1.0,,
2021-2022,Thomas Partey,Thomas Partey,100,71.0,,
2021-2022,Nicolas Pépé,Nicolas Pépé,100,45.0,,
2021-2022,Ricardo Pereira,Ricardo Barbosa Pereira,100,35.0,,
2021-2022,Ayoze Pérez,Ayoze Pérez,100,35.0,,
2021-2022,Sonny Perkins,Sonny Perkins,100,1.0,,
2021-2022,Romain Perraud,Romain Perraud,100,38.0,,
2021-2022,Kalvin Phillips,Kalvin Phillips,100,39.0,,
2021-2022,Jaden Philogene Bidace,Jaden Philogene-Bidace,100,1.0,,
2021-2022,Jordan Pickford,Jordan Pickford,100,116.0,,
2021-2022,Erik Pieters,Erik Pieters,100,37.0,,
2021-2022,Ethan Pinnock,Ethan Pinnock,100,90.0,,
2021-2022,Daniel Podence,Daniel Castelo Podence,86,70.0,True,
2021-2022,Paul Pogba,Paul Pogba,100,65.0,,
2021-2022,Nick Pope,Nick Pope,100,130.0,,
2021-2022,Isaac Price,Isaac Price,100,1.0,,
2021-2022,Teemu Pukki,Teemu Pukki,100,142.0,,
2021-2022,Christian Pulisic,Christian Pulisic,100,77.0,,
2021-2022,Przemysław Płacheta,Przemyslaw Placheta,89,18.0,True,
2021-2022,Jesuran Rak Sakyi,Jesurun Rak-Sakyi,94,4.0,,
2021-2022,Aaron Ramsdale,Aaron Ramsdale,100,135.0,,
2021-2022,Jacob Ramsey,Jacob Ramsey,100,109.0,,
2021-2022,Raphinha,Raphael Dias Belloli,100,145.0,,
2021-2022,Marcus Rashford,Marcus Rashford,100,63.0,,
2021-2022,Milot Rashica,Milot Rashica,100,70.0,,
2021-2022,David Raya,David Raya Martin,90,95.0,,
2021-2022,Nathan Redmond,Nathan Redmond,100,79.0,,
2021-2022,Sergio Reguilón,Sergio Reguilón,100,104.0,,
2021-2022,Declan Rice,Declan Rice,100,95.0,,
2021-2022,Taylor Richards,Taylor Richards,100,2.0,,
2021-2022,Richarlison,Richarlison de Andrade,90,125.0,,
2021-2022,Jaïro Riedewald,Jairo Riedewald,93,4.0,,
2021-2022,Matt Ritchie,Matt Ritchie,100,20.0,,
2021-2022,Connor Roberts,Connor Roberts,100,69.0,,
2021-2022,Tyler Roberts,Tyler Roberts,100,34.0,,
2021-2022,Andrew Robertson,Andrew Robertson,100,186.0,,
2021-2022,Joe Rodon,Joe Rodon,100,3.0,,
2021-2022,Rodri,Rodrigo Hernandez,100,127.0,,
2021-2022,Rodrigo,Rodrigo Moreno,100,85.0,,
2021-2022,Jay Rodriguez,Jay Rodriguez,100,60.0,,
2021-2022,Mads Roerslev,Mads Roerslev Rasmussen,90,41.0,,
2021-2022,Cristian Romero,Cristian Romero,100,63.0,,
2021-2022,Oriol Romeu,Oriol Romeu Vidal,90,88.0,,
2021-2022,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,90,159.0,,
2021-2022,Salomón Rondón,Salomón Rondón,100,30.0,,
2021-2022,Danny Rose,Danny Rose,100,7.0,,
2021-2022,Jon Rowe,Jonathan Rowe,100,16.0,,
2021-2022,John Ruddy,John Ruddy,100,3.0,,
2021-2022,Antonio Rüdiger,Antonio Rüdiger,100,150.0,,
2021-2022,Lukas Rupp,Lukas Rupp,100,23.0,,
2021-2022,José Sá,José Malheiro de Sá,100,146.0,,
2021-2022,Allan Saint-Maximin,Allan Saint-Maximin,100,116.0,,
2021-2022,Romain Saïss,Romain Saïss,100,109.0,,
2021-2022,Bukayo Saka,Bukayo Saka,100,179.0,,
2021-2022,Mohamed Salah,Mohamed Salah,100,265.0,,
2021-2022,Mohammed Salisu,Mohammed Salisu,100,58.0,,
2021-2022,Albert Sambi Lokonga,Albert Sambi Lokonga,100,32.0,,
