fbref_name,fpl_name,fuzzy_score,total_points,review,duplicated,missing_matchlogs
Aaron Cresswell,Aaron Cresswell,100.0,641.0,,,
Peter Crouch,Peter Crouch,100.0,160.0,,,
Charlie Daniels,Charlie Daniels,100.0,275.0,,,
Scott Dann,Scott Dann,100.0,206.0,,,
Matteo Darmian,Matteo Darmian,100.0,111.0,,,
Ben Davies,Ben Davies,100.0,630.0,,,
Curtis Davies,Curtis Davies,100.0,38.0,,,
Tom Davies,Tom Davies,100.0,299.0,,,
Steven Davis,Steven Davis,100.0,157.0,,,
Craig Dawson,Craig Dawson,100.0,559.0,,,
Michael Dawson,Michael Dawson,100.0,46.0,,,
Kevin De Bruyne,Kevin De Bruyne,100.0,1322.0,,,
Mathieu Debuchy,Mathieu Debuchy,100.0,1.0,,,
Troy Deeney,Troy Deeney,100.0,430.0,,,
Jermain Defoe,Jermain Defoe,100.0,230.0,,,
Steven Defour,Steven Defour,100.0,126.0,,,
Damien Delaney,Damien Delaney,100.0,52.0,,,
Fabian Delph,Fabian Delph,100.0,147.0,,,
Mousa Dembélé,Mousa Dembélé,100.0,142.0,,,
Jason Denayer,Jason Denayer,100.0,56.0,,,
Mike van der Hoorn,Mike van der Hoorn,100.0,90.0,,,
Gerard Deulofeu,Gerard Deulofeu,100.0,259.0,,,
Eric Dier,Eric Dier,100.0,577.0,,,
Adama Diomande,Adama Diomande,100.0,42.0,,,
Papy Djilobodji,Papy Djilobodji,100.0,24.0,,,
Abdoulaye Doucouré,Abdoulaye Doucouré,100.0,764.0,,,
Stewart Downing,Stewart Downing,100.0,77.0,,,
Danny Drinkwater,Daniel Drinkwater,100.0,99.0,,,
Nathan Dyer,Nathan Dyer,100.0,53.0,,,
Ovie Ejaria,Oviemuno Ejaria,85.0,2.0,1.0,,
Omar Elabdellaoui,Omar Elabdellaoui,100.0,13.0,,,
Andrew Eleftheriou,Andrew Eleftheriou,100.0,0.0,,,
Ahmed Elmohamady,Ahmed Elmohamady,100.0,62.0,,,
Mohamed Elneny,Mohamed Elneny,100.0,70.0,,,
Christian Eriksen,Christian Eriksen,100.0,814.0,,,
Bernardo Espinosa,Bernardo Espinosa Zúñiga,95.0,35.0,,,
Jonny Evans,Jonny Evans,100.0,575.0,,,
Łukasz Fabiański,Lukasz Fabianski,88.0,919.0,1.0,,
Fábio,Fabio Pereira da Silva,100.0,58.0,,,
Cesc Fàbregas,Cesc Fàbregas,100.0,216.0,,,
Adam Federici,Adam Federici,100.0,8.0,,,
Sofiane Feghouli,Sofiane Feghouli,100.0,55.0,,,
Marouane Fellaini,Marouane Fellaini,100.0,121.0,,,
Leroy Fer,Leroy Fer,100.0,136.0,,,
Edimilson Fernandes,Edimilson Fernandes,100.0,67.0,,,
Federico Fernández,Federico Fernández,100.0,361.0,,,
Fernandinho,Fernando Luiz Rosa,100.0,442.0,,,
Fernando,Fernando Francisco Reges,90.0,18.0,,,
Sam Field,Sam Field,100.0,35.0,,,
Roberto Firmino,Roberto Firmino,100.0,983.0,,,
Viktor Fischer,Viktor Fischer,100.0,25.0,,,
Mathieu Flamini,Mathieu Flamini,100.0,12.0,,,
Jon Flanagan,Jon Flanagan,100.0,9.0,,,
Ashley Fletcher,Ashley Fletcher,100.0,19.0,,,
Darren Fletcher,Darren Fletcher,100.0,170.0,,,
Michael Folivi,Michael Folivi,100.0,1.0,,,
José Fonte,Jose Fonte,90.0,132.0,,,
Adam Forshaw,Adam Forshaw,100.0,131.0,,,
Fraser Forster,Fraser Forster,100.0,336.0,,,
Ben Foster,Ben Foster,100.0,583.0,,,
Timothy Fosu-Mensah,Timothy Fosu-Mensah,100.0,69.0,,,
Simon Francis,Simon Francis,100.0,201.0,,,
Ryan Fraser,Ryan Fraser,100.0,579.0,,,
George Friend,George Friend,100.0,59.0,,,
Zeki Fryers,Ezekiel Fryers,88.0,9.0,1.0,,
Christian Fuchs,Christian Fuchs,100.0,214.0,,,
Jay Fulton,Jay Fulton,100.0,20.0,,,
Ramiro Funes Mori,Ramiro Funes Mori,100.0,72.0,,,
Manolo Gabbiadini,Manolo Gabbiadini,100.0,127.0,,,
Brendan Galloway,Brendan Galloway,100.0,9.0,,,
Idrissa Gana Gueye,Idrissa Gueye,95.0,371.0,,,
Aleix García,Aleix García Serrano,90.0,4.0,,,
Craig Gardner,Craig Gardner,100.0,14.0,,,
David de Gea,David De Gea,100.0,120.0,,,
Rudy Gestede,Rudy Gestede,100.0,21.0,,,
Kieran Gibbs,Kieran Gibbs,100.0,136.0,,,
Ben Gibson,Ben Gibson,100.0,180.0,,,
Darron Gibson,Darron Gibson,100.0,17.0,,,
Olivier Giroud,Olivier Giroud,100.0,363.0,,,
Shay Given,Shay Given,100.0,13.0,,,
Evandro Goebel,Evandro Goebel,100.0,18.0,,,
Angel Gomes,Angel Gomes,100.0,5.0,,,
Heurelho Gomes,Heurelho Gomes,100.0,177.0,,,
Lynden Gooch,Lynden Gooch,100.0,12.0,,,
Dan Gosling,Dan Gosling,100.0,227.0,,,
Lewis Grabban,Lewis Grabban,100.0,6.0,,,
Max Gradel,Max Gradel,100.0,8.0,,,
Lee Grant,Lee Grant,100.0,111.0,,,
Andre Gray,Andre Gray,100.0,309.0,,,
Demarai Gray,Demarai Gray,100.0,464.0,,,
Kamil Grosicki,Kamil Grosicki,100.0,51.0,,,
Marko Grujić,Marko Grujic,92.0,7.0,,,
Adlène Guedioura,Adlène Guédioura,94.0,26.0,,,
İlkay Gündoğan,Ilkay Gündogan,93.0,714.0,,,
Brad Guzan,Bradley Guzan,87.0,36.0,1.0,,
Josh Harrop,Joshua Harrop,92.0,8.0,,,
Eden Hazard,Eden Hazard,100.0,635.0,,,
Tom Heaton,Tom Heaton,100.0,274.0,,,
Jordan Henderson,Jordan Henderson,100.0,575.0,,,
Jeff Hendrick,Jeff Hendrick,100.0,361.0,,,
Wayne Hennessey,Wayne Hennessey,100.0,277.0,,,
Markus Henriksen,Markus Henriksen,100.0,20.0,,,
Abel Hernández,Abel Hernández,100.0,72.0,,,
Luis Hernández,Luis Hernández,100.0,3.0,,,
Ander Herrera,Ander Herrera,100.0,203.0,,,
Son Heung-min,Son Heung-min,100.0,354.0,,,
Rob Holding,Rob Holding,100.0,254.0,,,
José Holebas,José Holebas,100.0,273.0,,,
Mason Holgate,Mason Holgate,100.0,325.0,,,
George Honeyman,George Honeyman,100.0,7.0,,,
Tom Huddlestone,Tom Huddlestone,100.0,62.0,,,
James Husband,James Husband,100.0,0.0,,,
Robert Huth,Robert Huth,100.0,88.0,,,
Pierre Højbjerg,Pierre-Emile Højbjerg,95.0,613.0,,,
Jordon Ibe,Jordon Ibe,100.0,156.0,,,
Didier Ibrahim Ndong,Didier Ndong,86.0,67.0,1.0,,
Zlatan Ibrahimović,Zlatan Ibrahimovic,94.0,168.0,,,
Odion Ighalo,Odion Ighalo,100.0,51.0,,,
Kelechi Iheanacho,Kelechi Iheanacho,100.0,500.0,,,
Giannelli Imbula,Giannelli Imbula,100.0,24.0,,,
Branislav Ivanović,Branislav Ivanovic,94.0,43.0,,,
Alex Iwobi,Alex Iwobi,100.0,696.0,,,
Phil Jagielka,Phil Jagielka,100.0,197.0,,,
Eldin Jakupović,Eldin Jakupovic,93.0,90.0,,,
Matty James,Matty James,100.0,28.0,,,
Daryl Janmaat,Daryl Janmaat,100.0,195.0,,,
Vincent Janssen,Vincent Janssen,100.0,59.0,,,
Adnan Januzaj,Adnan Januzaj,100.0,49.0,,,
Mile Jedinak,Mile Jedinak,100.0,2.0,,,
Carl Jenkinson,Carl Jenkinson,100.0,6.0,,,
Gabriel Jesus,Gabriel Fernando de Jesus,100.0,861.0,,,
Glen Johnson,Glen Johnson,100.0,61.0,,,
Billy Jones,Billy Jones,100.0,56.0,,,
David Jones,David Jones,100.0,1.0,,,
Phil Jones,Phil Jones,100.0,220.0,,,
Lukas Jutkiewicz,Lukas Jutkiewicz,100.0,2.0,,,
Christian Kabasele,Christian Kabasele,100.0,233.0,,,
Younès Kaboul,Younes Kaboul,92.0,64.0,,,
Sullay Kaikai,Sullay Kaikai,100.0,2.0,,,
Harry Kane,Harry Kane,100.0,1456.0,,,
N'Golo Kanté,N'Golo Kanté,100.0,516.0,,,
Loris Karius,Loris Karius,100.0,121.0,,,
Michael Keane,Michael Keane,100.0,699.0,,,
Will Keane,Will Keane,100.0,8.0,,,
Martin Kelly,Martin Kelly,100.0,171.0,,,
Kenedy,Robert Kenedy Nunes do Nascimento,90.0,108.0,,,
Jonjoe Kenny,Jonjoe Kenny,100.0,96.0,,,
Wahbi Khazri,Wahbi Khazri,100.0,31.0,,,
Michael Kightly,Michael Kightly,100.0,6.0,,,
Andy King,Andy King,100.0,92.0,,,
Joshua King,Joshua King,100.0,626.0,,,
Stephen Kingsley,Stephen Kingsley,100.0,29.0,,,
Jan Kirchhoff,Jan Kirchhoff,100.0,12.0,,,
Ragnar Klavan,Ragnar Klavan,100.0,121.0,,,
Aleksandar Kolarov,Aleksandar Kolarov,100.0,95.0,,,
Vincent Kompany,Vincent Kompany,100.0,175.0,,,
Arouna Koné,Arouna Koné,100.0,6.0,,,
Lamine Koné,Lamine Koné,100.0,69.0,,,
Laurent Koscielny,Laurent Koscielny,100.0,283.0,,,
Cheikhou Kouyaté,Cheikhou Kouyaté,100.0,522.0,,,
Bojan Krkić,Bojan Krkic,91.0,30.0,,,
Adam Lallana,Adam Lallana,100.0,380.0,,,
Rickie Lambert,Rickie Lambert,100.0,1.0,,,
Érik Lamela,Erik Lamela,91.0,243.0,,,
Manuel Lanzini,Manuel Lanzini,100.0,457.0,,,
Sebastian Larsson,Sebastian Larsson,100.0,40.0,,,
Grant Leadbitter,Grant Leadbitter,100.0,28.0,,,
Joe Ledley,Joe Ledley,100.0,40.0,,,
Lucas Leiva,Leiva Lucas,95.0,47.0,,,
Jonathan Leko,Jonathan Leko,100.0,12.0,,,
Aaron Lennon,Aaron Lennon,100.0,203.0,,,
Jeremain Lens,Jeremain Lens,100.0,2.0,,,
Joleon Lescott,Joleon Lescott,100.0,1.0,,,
Filip Lesniak,Filip Lesniak,100.0,4.0,,,
Jesse Lingard,Jesse Lingard,100.0,466.0,,,
Jake Livermore,Jake Livermore,100.0,191.0,,,
Fernando Llorente,Fernando Llorente,100.0,209.0,,,
Hugo Lloris,Hugo Lloris,100.0,926.0,,,
Ruben Loftus-Cheek,Ruben Loftus-Cheek,100.0,338.0,,,
Kevin Long,Kevin Long,100.0,118.0,,,
Shane Long,Shane Long,100.0,269.0,,,
Ademola Lookman,Ademola Lookman,100.0,243.0,,,
Donald Love,Donald Love,100.0,21.0,,,
Dejan Lovren,Dejan Lovren,100.0,297.0,,,
Matthew Lowton,Matthew Lowton,100.0,429.0,,,
David Luiz,David Luiz Moreira Marinho,90.0,463.0,,,
Romelu Lukaku,Romelu Lukaku,100.0,585.0,,,
Harry Maguire,Harry Maguire,100.0,708.0,,,
Riyad Mahrez,Riyad Mahrez,100.0,998.0,,,
Ainsley Maitland-Niles,Ainsley Maitland-Niles,100.0,219.0,,,
Shaun Maloney,Shaun Maloney,100.0,24.0,,,
Steve Mandanda,Steve Mandanda,100.0,19.0,,,
Sadio Mané,Sadio Mané,100.0,1114.0,,,
Vito Mannone,Vito Mannone,100.0,34.0,,,
Javier Manquillo,Javier Manquillo,100.0,271.0,,,
Adrian Mariappa,Adrian Mariappa,100.0,156.0,,,
Lazar Marković,Lazar Markovic,93.0,38.0,,,
Dean Marney,Dean Marney,100.0,51.0,,,
David Marshall,David Marshall,100.0,32.0,,,
Anthony Martial,Anthony Martial,100.0,722.0,,,
Cuco Martina,Cuco Martina,100.0,86.0,,,
Emiliano Martínez,Emiliano Martínez,100.0,348.0,,,
Bruno Martins Indi,Bruno Martins Indi,100.0,126.0,,,
Brandon Mason,Brandon Mason,100.0,1.0,,,
Ryan Mason,Ryan Mason,100.0,26.0,,,
Arthur Masuaku,Arthur Masuaku,100.0,248.0,,,
Juan Mata,Juan Mata,100.0,352.0,,,
Nemanja Matić,Nemanja Matic,92.0,398.0,,,
Joël Matip,Joel Matip,90.0,569.0,,,
Alfie Mawson,Alfie Mawson,100.0,225.0,,,
Dieumerci Mbokani,Dieumerci Mbokani,100.0,27.0,,,
James McArthur,James McArthur,100.0,510.0,,,
Gareth McAuley,Gareth McAuley,100.0,139.0,,,
Oliver McBurnie,Oliver McBurnie,100.0,217.0,,,
James McCarthy,James McCarthy,100.0,97.0,,,
James McClean,James McClean,100.0,97.0,,,
Paddy McNair,Patrick McNair,69.0,12.0,1.0,,
Sam McQueen,Sam McQueen,100.0,37.0,,,
Scott McTominay,Scott McTominay,100.0,422.0,,,
Ben Mee,Ben Mee,100.0,733.0,,,
Memphis,Memphis Depay,90.0,3.0,,,
Nampalys Mendy,Nampalys Mendy,100.0,170.0,,,
Per Mertesacker,Per Mertesacker,100.0,17.0,,,
David Meyler,David Meyler,100.0,33.0,,,
Simon Mignolet,Simon Mignolet,100.0,177.0,,,
Luka Milivojević,Luka Milivojevic,94.0,538.0,,,
James Milner,James Milner,100.0,518.0,,,
Tyrone Mings,Tyrone Mings,100.0,478.0,,,
Kevin Mirallas,Kevin Mirallas,100.0,124.0,,,
Demetri Mitchell,Demetri Mitchell,100.0,8.0,,,
